method,seed,subset,epoch,top1,top5,top1_reference,top5_reference,top1_delta,top5_delta,loss,adaptation_delay,performance_deficit,shortcut_feature_reliance,eri_score
dgr,43,T1_all,49,0.62775,0.86475,0.35,0.65,0.27775000000000005,0.21475,1.67449831533432,,0.0,0.40915805022156576,
dgr,43,T2_nonshortcut_normal,49,0.7346666666666667,0.9293333333333333,0.35,0.65,0.3846666666666667,0.2793333333333333,1.08876398340861,,0.0,0.40915805022156576,
dgr,43,T2_shortcut_masked,49,0.536,0.814,0.35,0.65,0.18600000000000005,0.16399999999999992,2.022406270980835,,0.0,0.40915805022156576,
dgr,43,T2_shortcut_normal,49,0.374,0.646,0.35,0.65,0.02400000000000002,-0.0040000000000000036,3.23999369430542,,0.0,0.40915805022156576,
