method,seed,epoch_eff,split,acc
scratch_t2,42,28.0,T2_shortcut_masked,0.006
scratch_t2,42,28.0,T2_shortcut_normal,0.416
scratch_t2,42,29.0,T1_all,0.30725
scratch_t2,42,29.0,T2_nonshortcut_normal,0.432
scratch_t2,42,29.0,T2_shortcut_masked,0.0
scratch_t2,42,29.0,T2_shortcut_normal,0.396
scratch_t2,42,30.0,T1_all,0.31675
scratch_t2,42,30.0,T2_nonshortcut_normal,0.424
scratch_t2,42,30.0,T2_shortcut_masked,0.004
scratch_t2,42,30.0,T2_shortcut_normal,0.418
scratch_t2,42,31.0,T1_all,0.32775
scratch_t2,42,31.0,T2_nonshortcut_normal,0.42333333333333334
scratch_t2,42,31.0,T2_shortcut_masked,0.018
scratch_t2,42,31.0,T2_shortcut_normal,0.44
scratch_t2,42,32.0,T1_all,0.301
scratch_t2,42,32.0,T2_nonshortcut_normal,0.3526666666666667
scratch_t2,42,32.0,T2_shortcut_masked,0.006
scratch_t2,42,32.0,T2_shortcut_normal,0.398
scratch_t2,42,33.0,T1_all,0.31025
scratch_t2,42,33.0,T2_nonshortcut_normal,0.4493333333333333
scratch_t2,42,33.0,T2_shortcut_masked,0.008
scratch_t2,42,33.0,T2_shortcut_normal,0.426
scratch_t2,42,34.0,T1_all,0.3215
scratch_t2,42,34.0,T2_nonshortcut_normal,0.448
scratch_t2,42,34.0,T2_shortcut_masked,0.008
scratch_t2,42,34.0,T2_shortcut_normal,0.428
scratch_t2,42,35.0,T1_all,0.32075
scratch_t2,42,35.0,T2_nonshortcut_normal,0.44866666666666666
scratch_t2,42,35.0,T2_shortcut_masked,0.008
scratch_t2,42,35.0,T2_shortcut_normal,0.424
scratch_t2,42,36.0,T1_all,0.3235
scratch_t2,42,36.0,T2_nonshortcut_normal,0.4533333333333333
scratch_t2,42,36.0,T2_shortcut_masked,0.008
scratch_t2,42,36.0,T2_shortcut_normal,0.424
scratch_t2,42,37.0,T1_all,0.32325
scratch_t2,42,37.0,T2_nonshortcut_normal,0.4553333333333333
scratch_t2,42,37.0,T2_shortcut_masked,0.008
scratch_t2,42,37.0,T2_shortcut_normal,0.424
scratch_t2,42,38.0,T1_all,0.3235
scratch_t2,42,38.0,T2_nonshortcut_normal,0.456
scratch_t2,42,38.0,T2_shortcut_masked,0.008
scratch_t2,42,38.0,T2_shortcut_normal,0.418
scratch_t2,42,39.0,T1_all,0.32325
scratch_t2,42,39.0,T2_nonshortcut_normal,0.458
scratch_t2,42,39.0,T2_shortcut_masked,0.008
scratch_t2,42,39.0,T2_shortcut_normal,0.42
scratch_t2,42,40.0,T1_all,0.32325
scratch_t2,42,40.0,T2_nonshortcut_normal,0.46
scratch_t2,42,40.0,T2_shortcut_masked,0.008
scratch_t2,42,40.0,T2_shortcut_normal,0.42
scratch_t2,42,41.0,T1_all,0.323
scratch_t2,42,41.0,T2_nonshortcut_normal,0.46066666666666667
scratch_t2,42,41.0,T2_shortcut_masked,0.008
scratch_t2,42,41.0,T2_shortcut_normal,0.424
scratch_t2,42,42.0,T1_all,0.3225
scratch_t2,42,42.0,T2_nonshortcut_normal,0.462
scratch_t2,42,42.0,T2_shortcut_masked,0.008
scratch_t2,42,42.0,T2_shortcut_normal,0.422
scratch_t2,42,43.0,T1_all,0.3235
scratch_t2,42,43.0,T2_nonshortcut_normal,0.4613333333333333
scratch_t2,42,43.0,T2_shortcut_masked,0.008
scratch_t2,42,43.0,T2_shortcut_normal,0.422
scratch_t2,42,44.0,T1_all,0.32425
scratch_t2,42,44.0,T2_nonshortcut_normal,0.46066666666666667
scratch_t2,42,44.0,T2_shortcut_masked,0.008
scratch_t2,42,44.0,T2_shortcut_normal,0.422
scratch_t2,42,45.0,T1_all,0.32425
scratch_t2,42,45.0,T2_nonshortcut_normal,0.46066666666666667
scratch_t2,42,45.0,T2_shortcut_masked,0.01
scratch_t2,42,45.0,T2_shortcut_normal,0.422
scratch_t2,42,46.0,T1_all,0.32425
scratch_t2,42,46.0,T2_nonshortcut_normal,0.46066666666666667
scratch_t2,42,46.0,T2_shortcut_masked,0.01
scratch_t2,42,46.0,T2_shortcut_normal,0.422
