method,seed,subset,epoch,top1,top5,top1_reference,top5_reference,top1_delta,top5_delta,loss,adaptation_delay,performance_deficit,shortcut_feature_reliance,eri_score
sgd,42,T1_all,49,0.6935,0.90375,0.35,0.65,0.3435,0.25375000000000003,1.581632511138916,,0.0,0.4338902147971361,
sgd,42,T2_nonshortcut_normal,49,0.78,0.9526666666666667,0.35,0.65,0.43000000000000005,0.30266666666666664,0.9666905743281047,,0.0,0.4338902147971361,
sgd,42,T2_shortcut_masked,49,0.732,0.92,0.35,0.65,0.382,0.27,1.218646354675293,,0.0,0.4338902147971361,
sgd,42,T2_shortcut_normal,49,0.652,0.874,0.35,0.65,0.30200000000000005,0.22399999999999998,1.729233609199524,,0.0,0.4338902147971361,
