method,seed,subset,epoch,top1,top5,top1_reference,top5_reference,top1_delta,top5_delta,loss,adaptation_delay,performance_deficit,shortcut_feature_reliance,eri_score
scratch_t2,43,T1_all,49,0.5985,0.869,0.35,0.65,0.24850000000000005,0.21899999999999997,1.6892471942901612,,0.0,0.3930205949656751,
scratch_t2,43,T2_nonshortcut_normal,49,0.7073333333333334,0.926,0.35,0.65,0.3573333333333334,0.276,1.1464940404891968,,0.0,0.3930205949656751,
scratch_t2,43,T2_shortcut_masked,49,0.622,0.876,0.35,0.65,0.272,0.22599999999999998,1.5092083959579468,,0.0,0.3930205949656751,
scratch_t2,43,T2_shortcut_normal,49,0.458,0.766,0.35,0.65,0.10800000000000004,0.11599999999999999,2.38710458946228,,0.0,0.3930205949656751,
