method,seed,epoch_eff,split,acc,top5,loss
scratch_t2,43,0.0,T1_all,0.131,0.389,3.443026361465454
scratch_t2,43,0.0,T2_nonshortcut_normal,0.16533333333333333,0.5033333333333333,3.2764050305684407
scratch_t2,43,0.0,T2_shortcut_masked,0.08,0.44,3.429772825241089
scratch_t2,43,0.0,T2_shortcut_normal,0.052,0.278,3.7890783367156984
scratch_t2,43,1.0,T1_all,0.18275,0.5185,3.1322035388946534
scratch_t2,43,1.0,T2_nonshortcut_normal,0.30733333333333335,0.6673333333333333,2.6120378926595054
scratch_t2,43,1.0,T2_shortcut_masked,0.174,0.482,3.207767818450928
scratch_t2,43,1.0,T2_shortcut_normal,0.102,0.356,3.5290334663391114
scratch_t2,43,2.0,T1_all,0.196,0.5475,3.007398464202881
scratch_t2,43,2.0,T2_nonshortcut_normal,0.36933333333333335,0.7006666666666667,2.3758925946553546
scratch_t2,43,2.0,T2_shortcut_masked,0.146,0.456,3.2027463817596438
scratch_t2,43,2.0,T2_shortcut_normal,0.102,0.358,3.5471945457458496
scratch_t2,43,3.0,T1_all,0.2335,0.56275,2.9840993041992188
scratch_t2,43,3.0,T2_nonshortcut_normal,0.33666666666666667,0.7066666666666667,2.4155610376993817
scratch_t2,43,3.0,T2_shortcut_masked,0.184,0.624,2.9014664726257324
scratch_t2,43,3.0,T2_shortcut_normal,0.13,0.474,3.3286563777923583
scratch_t2,43,4.0,T1_all,0.276,0.6125,2.802950443267822
scratch_t2,43,4.0,T2_nonshortcut_normal,0.4266666666666667,0.7486666666666667,2.1272183497746786
scratch_t2,43,4.0,T2_shortcut_masked,0.26,0.65,2.7274949378967284
scratch_t2,43,4.0,T2_shortcut_normal,0.204,0.56,3.0252777671813966
scratch_t2,43,5.0,T1_all,0.2645,0.60675,2.8885352306365966
scratch_t2,43,5.0,T2_nonshortcut_normal,0.334,0.656,2.6222978420257568
scratch_t2,43,5.0,T2_shortcut_masked,0.338,0.732,2.324660961151123
scratch_t2,43,5.0,T2_shortcut_normal,0.192,0.642,2.930683765411377
scratch_t2,43,6.0,T1_all,0.3205,0.69125,2.4765854921340944
scratch_t2,43,6.0,T2_nonshortcut_normal,0.49866666666666665,0.7973333333333333,1.8627655846277873
scratch_t2,43,6.0,T2_shortcut_masked,0.292,0.664,2.630666477203369
scratch_t2,43,6.0,T2_shortcut_normal,0.218,0.536,3.095813014984131
scratch_t2,43,7.0,T1_all,0.3625,0.73225,2.3001150369644163
scratch_t2,43,7.0,T2_nonshortcut_normal,0.48533333333333334,0.7793333333333333,1.9436855297088622
scratch_t2,43,7.0,T2_shortcut_masked,0.24,0.542,2.9518287239074708
scratch_t2,43,7.0,T2_shortcut_normal,0.108,0.344,3.8835635566711426
scratch_t2,43,8.0,T1_all,0.3425,0.68,2.671845094680786
scratch_t2,43,8.0,T2_nonshortcut_normal,0.4686666666666667,0.768,2.1191012217203777
scratch_t2,43,8.0,T2_shortcut_masked,0.282,0.684,2.8760322265625
scratch_t2,43,8.0,T2_shortcut_normal,0.214,0.498,3.3761716423034667
scratch_t2,43,9.0,T1_all,0.39575,0.74175,2.2413446855545045
scratch_t2,43,9.0,T2_nonshortcut_normal,0.522,0.8273333333333334,1.6898962284723917
scratch_t2,43,9.0,T2_shortcut_masked,0.372,0.76,2.203239860534668
scratch_t2,43,9.0,T2_shortcut_normal,0.276,0.634,2.799679718017578
scratch_t2,43,10.0,T1_all,0.42175,0.75375,2.1501046619415285
scratch_t2,43,10.0,T2_nonshortcut_normal,0.5806666666666667,0.854,1.5360994908014933
scratch_t2,43,10.0,T2_shortcut_masked,0.426,0.796,2.01219974899292
scratch_t2,43,10.0,T2_shortcut_normal,0.264,0.618,2.8453812675476073
scratch_t2,43,11.0,T1_all,0.407,0.74775,2.262907917022705
scratch_t2,43,11.0,T2_nonshortcut_normal,0.5166666666666667,0.8046666666666666,1.832842871983846
scratch_t2,43,11.0,T2_shortcut_masked,0.354,0.714,2.472067394256592
scratch_t2,43,11.0,T2_shortcut_normal,0.218,0.54,3.2167369976043703
scratch_t2,43,12.0,T1_all,0.40425,0.727,2.395927412033081
scratch_t2,43,12.0,T2_nonshortcut_normal,0.562,0.858,1.582078961054484
scratch_t2,43,12.0,T2_shortcut_masked,0.41,0.788,2.168235610961914
scratch_t2,43,12.0,T2_shortcut_normal,0.364,0.704,2.4903117542266844
scratch_t2,43,13.0,T1_all,0.39775,0.75875,2.3266205863952636
scratch_t2,43,13.0,T2_nonshortcut_normal,0.5326666666666666,0.8473333333333334,1.7237541793187459
scratch_t2,43,13.0,T2_shortcut_masked,0.242,0.608,3.0126351146698
scratch_t2,43,13.0,T2_shortcut_normal,0.136,0.39,3.9595640869140625
scratch_t2,43,14.0,T1_all,0.3785,0.722,2.511391363143921
scratch_t2,43,14.0,T2_nonshortcut_normal,0.5546666666666666,0.8306666666666667,1.7313060728708902
scratch_t2,43,14.0,T2_shortcut_masked,0.344,0.686,2.6097327003479003
scratch_t2,43,14.0,T2_shortcut_normal,0.216,0.524,3.445315933227539
scratch_t2,43,15.0,T1_all,0.44925,0.78825,2.108085289955139
scratch_t2,43,15.0,T2_nonshortcut_normal,0.5626666666666666,0.8293333333333334,1.679410971959432
scratch_t2,43,15.0,T2_shortcut_masked,0.448,0.756,2.076977132797241
scratch_t2,43,15.0,T2_shortcut_normal,0.304,0.61,2.910271251678467
scratch_t2,43,16.0,T1_all,0.45,0.7795,2.1603201122283937
scratch_t2,43,16.0,T2_nonshortcut_normal,0.5206666666666667,0.788,2.0263683904012044
scratch_t2,43,16.0,T2_shortcut_masked,0.348,0.75,2.439065237045288
scratch_t2,43,16.0,T2_shortcut_normal,0.306,0.672,2.7190769939422608
scratch_t2,43,17.0,T1_all,0.44575,0.7875,2.1243003091812134
scratch_t2,43,17.0,T2_nonshortcut_normal,0.5786666666666667,0.8646666666666667,1.6060143553415933
scratch_t2,43,17.0,T2_shortcut_masked,0.404,0.75,2.3741112442016603
scratch_t2,43,17.0,T2_shortcut_normal,0.26,0.614,3.124515106201172
scratch_t2,43,18.0,T1_all,0.44075,0.7785,2.264954846382141
scratch_t2,43,18.0,T2_nonshortcut_normal,0.5546666666666666,0.8586666666666667,1.7029196577072143
scratch_t2,43,18.0,T2_shortcut_masked,0.362,0.788,2.2930425910949706
scratch_t2,43,18.0,T2_shortcut_normal,0.308,0.698,2.749031276702881
scratch_t2,43,19.0,T1_all,0.4705,0.7965,2.0888863010406493
scratch_t2,43,19.0,T2_nonshortcut_normal,0.5946666666666667,0.8806666666666667,1.5079589355786642
scratch_t2,43,19.0,T2_shortcut_masked,0.44,0.816,2.081032461166382
scratch_t2,43,19.0,T2_shortcut_normal,0.326,0.656,2.7649480686187746
scratch_t2,43,20.0,T1_all,0.44525,0.794,2.239369233131409
scratch_t2,43,20.0,T2_nonshortcut_normal,0.5886666666666667,0.8533333333333334,1.579569666862488
scratch_t2,43,20.0,T2_shortcut_masked,0.302,0.686,2.91844860458374
scratch_t2,43,20.0,T2_shortcut_normal,0.192,0.526,3.834671905517578
scratch_t2,43,21.0,T1_all,0.46,0.7905,2.1798545179367066
scratch_t2,43,21.0,T2_nonshortcut_normal,0.6006666666666667,0.8773333333333333,1.5345548531214397
scratch_t2,43,21.0,T2_shortcut_masked,0.538,0.874,1.6245926475524903
scratch_t2,43,21.0,T2_shortcut_normal,0.408,0.746,2.235374141693115
scratch_t2,43,22.0,T1_all,0.404,0.72,2.7268438634872436
scratch_t2,43,22.0,T2_nonshortcut_normal,0.462,0.7613333333333333,2.56306516456604
scratch_t2,43,22.0,T2_shortcut_masked,0.232,0.586,3.932249984741211
scratch_t2,43,22.0,T2_shortcut_normal,0.226,0.582,3.7107853908538817
scratch_t2,43,23.0,T1_all,0.494,0.822,2.0640470461845397
scratch_t2,43,23.0,T2_nonshortcut_normal,0.5993333333333334,0.8706666666666667,1.5413508729934693
scratch_t2,43,23.0,T2_shortcut_masked,0.438,0.774,2.2615234603881835
scratch_t2,43,23.0,T2_shortcut_normal,0.286,0.588,3.4033014068603515
scratch_t2,43,24.0,T1_all,0.50525,0.8345,1.9508422551155091
