method,seed,epoch_eff,split,acc
scratch_t2,42,27.000000,T2_nonshortcut_normal,0.421333
scratch_t2,42,27.000000,T2_shortcut_masked,0.010000
scratch_t2,42,27.000000,T2_shortcut_normal,0.382000
scratch_t2,42,28.000000,T1_all,0.314250
scratch_t2,42,28.000000,T2_nonshortcut_normal,0.440000
scratch_t2,42,28.000000,T2_shortcut_masked,0.006000
scratch_t2,42,28.000000,T2_shortcut_normal,0.416000
scratch_t2,42,29.000000,T1_all,0.307250
scratch_t2,42,29.000000,T2_nonshortcut_normal,0.432000
scratch_t2,42,29.000000,T2_shortcut_masked,0.000000
scratch_t2,42,29.000000,T2_shortcut_normal,0.396000
scratch_t2,42,30.000000,T1_all,0.316750
scratch_t2,42,30.000000,T2_nonshortcut_normal,0.424000
scratch_t2,42,30.000000,T2_shortcut_masked,0.004000
scratch_t2,42,30.000000,T2_shortcut_normal,0.418000
scratch_t2,42,31.000000,T1_all,0.327750
scratch_t2,42,31.000000,T2_nonshortcut_normal,0.423333
scratch_t2,42,31.000000,T2_shortcut_masked,0.018000
scratch_t2,42,31.000000,T2_shortcut_normal,0.440000
scratch_t2,42,32.000000,T1_all,0.301000
scratch_t2,42,32.000000,T2_nonshortcut_normal,0.352667
scratch_t2,42,32.000000,T2_shortcut_masked,0.006000
scratch_t2,42,32.000000,T2_shortcut_normal,0.398000
scratch_t2,42,33.000000,T1_all,0.310250
scratch_t2,42,33.000000,T2_nonshortcut_normal,0.449333
scratch_t2,42,33.000000,T2_shortcut_masked,0.008000
scratch_t2,42,33.000000,T2_shortcut_normal,0.426000
scratch_t2,42,34.000000,T1_all,0.321500
scratch_t2,42,34.000000,T2_nonshortcut_normal,0.448000
scratch_t2,42,34.000000,T2_shortcut_masked,0.008000
scratch_t2,42,34.000000,T2_shortcut_normal,0.428000
scratch_t2,42,35.000000,T1_all,0.320750
scratch_t2,42,35.000000,T2_nonshortcut_normal,0.448667
scratch_t2,42,35.000000,T2_shortcut_masked,0.008000
scratch_t2,42,35.000000,T2_shortcut_normal,0.424000
scratch_t2,42,36.000000,T1_all,0.323500
scratch_t2,42,36.000000,T2_nonshortcut_normal,0.453333
scratch_t2,42,36.000000,T2_shortcut_masked,0.008000
scratch_t2,42,36.000000,T2_shortcut_normal,0.424000
scratch_t2,42,37.000000,T1_all,0.323250
scratch_t2,42,37.000000,T2_nonshortcut_normal,0.455333
scratch_t2,42,37.000000,T2_shortcut_masked,0.008000
scratch_t2,42,37.000000,T2_shortcut_normal,0.424000
scratch_t2,42,38.000000,T1_all,0.323500
scratch_t2,42,38.000000,T2_nonshortcut_normal,0.456000
