method,seed,subset,epoch,top1,top5,top1_reference,top5_reference,top1_delta,top5_delta,loss,adaptation_delay,performance_deficit,shortcut_feature_reliance,eri_score
sgd,44,T1_all,49,0.67825,0.9055,0.35,0.65,0.32825000000000004,0.25549999999999995,1.5853386764526367,,0.0,0.4423897581792318,
sgd,44,T2_nonshortcut_normal,49,0.7866666666666666,0.9486666666666667,0.35,0.65,0.43666666666666665,0.29866666666666664,1.030006952126821,,0.0,0.4423897581792318,
sgd,44,T2_shortcut_masked,49,0.686,0.904,0.35,0.65,0.3360000000000001,0.254,1.5142945680618287,,0.0,0.4423897581792318,
sgd,44,T2_shortcut_normal,49,0.596,0.83,0.35,0.65,0.246,0.17999999999999994,2.040716215133667,,0.0,0.4423897581792318,
