method,seed,subset,epoch,top1,top5,top1_reference,top5_reference,top1_delta,top5_delta,loss,adaptation_delay,performance_deficit,shortcut_feature_reliance,eri_score
scratch_t2,42,T1_all,49,0.6,0.8705,0.35,0.65,0.25,0.22050000000000003,1.6749805240631104,,0.0,0.4367693942614241,
scratch_t2,42,T2_nonshortcut_normal,49,0.7066666666666667,0.9193333333333333,0.35,0.65,0.3566666666666667,0.2693333333333333,1.1592963687578837,,0.0,0.4367693942614241,
scratch_t2,42,T2_shortcut_masked,49,0.614,0.88,0.35,0.65,0.264,0.22999999999999998,1.478623085975647,,0.0,0.4367693942614241,
scratch_t2,42,T2_shortcut_normal,49,0.548,0.816,0.35,0.65,0.19800000000000006,0.16599999999999993,1.929759271621704,,0.0,0.4367693942614241,
