method,seed,subset,epoch,top1,top5,top1_reference,top5_reference,top1_delta,top5_delta,loss,adaptation_delay,performance_deficit,shortcut_feature_reliance,eri_score
scratch_t2,42,T1_all,49,0.59525,0.8625,0.35,0.65,0.24524999999999997,0.21250000000000002,1.7192247738838196,,0.0,0.4064408661854525,
scratch_t2,42,T2_nonshortcut_normal,49,0.7126666666666667,0.9193333333333333,0.35,0.65,0.3626666666666667,0.2693333333333333,1.1840540811220805,,0.0,0.4064408661854525,
scratch_t2,42,T2_shortcut_masked,49,0.632,0.882,0.35,0.65,0.28200000000000003,0.23199999999999998,1.4880738849639892,,0.0,0.4064408661854525,
scratch_t2,42,T2_shortcut_normal,49,0.488,0.796,0.35,0.65,0.138,0.14600000000000002,2.0968959188461302,,0.0,0.4064408661854525,
