method,seed,epoch_eff,split,acc,top5,loss
gpm,43,0.0,T1_all,0.17275,0.4995,3.178563055038452
gpm,43,0.0,T1_all,0.63525,0.88625,1.6108163442611694
gpm,43,0.0,T2_nonshortcut_normal,0.302,0.6566666666666666,2.6181417357126873
gpm,43,0.0,T2_nonshortcut_normal,0.744,0.9333333333333333,1.0998006258805593
gpm,43,0.0,T2_shortcut_masked,0.164,0.496,3.1917706966400146
gpm,43,0.0,T2_shortcut_masked,0.672,0.924,1.312543758392334
gpm,43,0.0,T2_shortcut_normal,0.062,0.2,4.163777565002442
gpm,43,0.0,T2_shortcut_normal,0.562,0.838,1.9884704217910767
gpm,43,1.0,T1_all,0.27175,0.61025,2.7418229579925537
gpm,43,1.0,T1_all,0.635,0.8975,1.5905883297920227
gpm,43,1.0,T2_nonshortcut_normal,0.37466666666666665,0.7153333333333334,2.3526385008494057
gpm,43,1.0,T2_nonshortcut_normal,0.7466666666666667,0.922,1.1287439285119374
gpm,43,1.0,T2_shortcut_masked,0.224,0.548,2.9282547302246096
gpm,43,1.0,T2_shortcut_masked,0.674,0.906,1.3977971544265748
gpm,43,1.0,T2_shortcut_normal,0.118,0.336,3.7536633911132813
gpm,43,1.0,T2_shortcut_normal,0.598,0.848,1.8112881259918212
gpm,43,2.0,T1_all,0.298,0.65125,2.650067241668701
gpm,43,2.0,T1_all,0.634,0.892,1.6969138793945313
gpm,43,2.0,T2_nonshortcut_normal,0.49266666666666664,0.806,1.872441292444865
gpm,43,2.0,T2_nonshortcut_normal,0.73,0.9253333333333333,1.1590555619398752
gpm,43,2.0,T2_shortcut_masked,0.366,0.738,2.2883485698699952
gpm,43,2.0,T2_shortcut_masked,0.694,0.928,1.2049157867431641
gpm,43,2.0,T2_shortcut_normal,0.228,0.562,2.920473518371582
gpm,43,2.0,T2_shortcut_normal,0.622,0.878,1.750925811767578
gpm,43,3.0,T1_all,0.36275,0.71675,2.3475428295135496
gpm,43,3.0,T1_all,0.6425,0.894,1.6153191261291504
gpm,43,3.0,T2_nonshortcut_normal,0.5153333333333333,0.808,1.7614153753916422
gpm,43,3.0,T2_nonshortcut_normal,0.7166666666666667,0.9266666666666666,1.2564501469930014
gpm,43,3.0,T2_shortcut_masked,0.28,0.686,2.609033020019531
gpm,43,3.0,T2_shortcut_masked,0.604,0.888,1.6739803886413573
gpm,43,3.0,T2_shortcut_normal,0.098,0.388,3.614150775909424
gpm,43,3.0,T2_shortcut_normal,0.45,0.786,2.3895898723602294
gpm,43,4.0,T1_all,0.3745,0.715,2.3823976106643676
gpm,43,4.0,T1_all,0.65325,0.9035,1.5024925322532654
gpm,43,4.0,T2_nonshortcut_normal,0.5,0.7913333333333333,1.9137110528945922
gpm,43,4.0,T2_nonshortcut_normal,0.7606666666666667,0.928,1.0603195610046388
gpm,43,4.0,T2_shortcut_masked,0.296,0.604,2.898794521331787
gpm,43,4.0,T2_shortcut_masked,0.696,0.912,1.2429472942352295
gpm,43,4.0,T2_shortcut_normal,0.162,0.338,4.210479179382324
gpm,43,4.0,T2_shortcut_normal,0.584,0.856,1.7804951009750367
gpm,43,5.0,T1_all,0.44025,0.773,2.074234670639038
gpm,43,5.0,T1_all,0.609,0.87575,1.9634388818740844
gpm,43,5.0,T2_nonshortcut_normal,0.5353333333333333,0.8306666666666667,1.646430780728658
gpm,43,5.0,T2_nonshortcut_normal,0.7433333333333333,0.946,1.1019196251233419
gpm,43,5.0,T2_shortcut_masked,0.334,0.734,2.335698802947998
gpm,43,5.0,T2_shortcut_masked,0.646,0.912,1.6523238458633422
gpm,43,5.0,T2_shortcut_normal,0.212,0.546,3.076708591461182
gpm,43,5.0,T2_shortcut_normal,0.534,0.782,2.4775112380981446
gpm,43,6.0,T1_all,0.4595,0.80275,1.9371217880249023
gpm,43,6.0,T1_all,0.665,0.90225,1.4972505493164063
gpm,43,6.0,T2_nonshortcut_normal,0.598,0.8753333333333333,1.3864911942481994
gpm,43,6.0,T2_nonshortcut_normal,0.7473333333333333,0.9286666666666666,1.0835433456103007
gpm,43,6.0,T2_shortcut_masked,0.408,0.786,2.051281149864197
gpm,43,6.0,T2_shortcut_masked,0.696,0.932,1.2724673051834106
gpm,43,6.0,T2_shortcut_normal,0.298,0.626,2.680122646331787
gpm,43,6.0,T2_shortcut_normal,0.638,0.874,1.6521090669631957
gpm,43,7.0,T1_all,0.48775,0.809,1.8876615839004516
gpm,43,7.0,T1_all,0.64275,0.8875,1.6849582448005676
gpm,43,7.0,T2_nonshortcut_normal,0.616,0.902,1.3017135887145996
gpm,43,7.0,T2_nonshortcut_normal,0.752,0.9453333333333334,1.052650856812795
gpm,43,7.0,T2_shortcut_masked,0.42,0.804,2.035470790863037
gpm,43,7.0,T2_shortcut_masked,0.68,0.926,1.2967704410552978
gpm,43,7.0,T2_shortcut_normal,0.278,0.654,2.814062530517578
gpm,43,7.0,T2_shortcut_normal,0.612,0.868,1.7556393756866455
gpm,43,8.0,T1_all,0.49975,0.829,1.801006917953491
gpm,43,8.0,T1_all,0.65775,0.894,1.6098297762870788
gpm,43,8.0,T2_nonshortcut_normal,0.6206666666666667,0.8706666666666667,1.4212046392758688
gpm,43,8.0,T2_nonshortcut_normal,0.7806666666666666,0.9466666666666667,0.9743139611085256
gpm,43,8.0,T2_shortcut_masked,0.506,0.834,1.7846622705459594
gpm,43,8.0,T2_shortcut_masked,0.662,0.904,1.50034649848938
gpm,43,8.0,T2_shortcut_normal,0.346,0.69,2.5233399124145506
gpm,43,8.0,T2_shortcut_normal,0.558,0.838,2.004488296508789
gpm,43,9.0,T1_all,0.50975,0.83575,1.7447838554382324
gpm,43,9.0,T1_all,0.6585,0.901,1.5539831051826476
gpm,43,9.0,T2_nonshortcut_normal,0.6566666666666666,0.91,1.1763696325620014
gpm,43,9.0,T2_nonshortcut_normal,0.7513333333333333,0.9393333333333334,1.0511678893963496
gpm,43,9.0,T2_shortcut_masked,0.54,0.85,1.5842514142990112
gpm,43,9.0,T2_shortcut_masked,0.624,0.898,1.5737619915008545
gpm,43,9.0,T2_shortcut_normal,0.41,0.71,2.290500593185425
gpm,43,9.0,T2_shortcut_normal,0.524,0.792,2.246927173614502
gpm,43,10.0,T1_all,0.5455,0.857,1.6121625776290893
