method,seed,subset,epoch,top1,top5,top1_reference,top5_reference,top1_delta,top5_delta,loss,adaptation_delay,performance_deficit,shortcut_feature_reliance,eri_score
dgr,42,T1_all,49,0.33775,0.6595,0.35,0.65,-0.012249999999999983,0.009499999999999953,2.610267792701721,,0.0,0.36659877800407326,
dgr,42,T2_nonshortcut_normal,49,0.428,0.7453333333333333,0.35,0.65,0.07800000000000001,0.09533333333333327,2.2515149478912355,,0.0,0.36659877800407326,
dgr,42,T2_shortcut_masked,49,0.178,0.568,0.35,0.65,-0.172,-0.08200000000000007,3.0526278972625733,,0.0,0.36659877800407326,
dgr,42,T2_shortcut_normal,49,0.128,0.442,0.35,0.65,-0.22199999999999998,-0.20800000000000002,3.3864928283691405,,0.0,0.36659877800407326,
