method,seed,subset,epoch,top1,top5,top1_reference,top5_reference,top1_delta,top5_delta,loss,adaptation_delay,performance_deficit,shortcut_feature_reliance,eri_score
scratch_t2,44,T1_all,49,0.5995,0.87425,0.35,0.65,0.24950000000000006,0.22424999999999995,1.68135653591156,,0.0,0.42552026286966044,
scratch_t2,44,T2_nonshortcut_normal,49,0.6993333333333334,0.9133333333333333,0.35,0.65,0.3493333333333334,0.2633333333333333,1.2181149253845214,,0.0,0.42552026286966044,
scratch_t2,44,T2_shortcut_masked,49,0.57,0.856,0.35,0.65,0.21999999999999997,0.20599999999999996,1.6518430223464966,,0.0,0.42552026286966044,
scratch_t2,44,T2_shortcut_normal,49,0.518,0.796,0.35,0.65,0.16800000000000004,0.14600000000000002,2.134347403526306,,0.0,0.42552026286966044,
