method,seed,subset,epoch,top1,top5,top1_reference,top5_reference,top1_delta,top5_delta,loss,adaptation_delay,performance_deficit,shortcut_feature_reliance,eri_score
derpp,42,T1_all,0,0.266,0.62225,0.35,0.65,-0.08399999999999996,-0.027750000000000052,2.7806750926971437,,0.0,0.2236503856041131,
derpp,42,T2_nonshortcut_normal,0,0.41333333333333333,0.7293333333333333,0.35,0.65,0.06333333333333335,0.07933333333333326,2.22962100537618,,0.0,0.2236503856041131,
derpp,42,T2_shortcut_masked,0,0.262,0.644,0.35,0.65,-0.08799999999999997,-0.006000000000000005,2.6410253944396973,,0.0,0.2236503856041131,
derpp,42,T2_shortcut_normal,0,0.124,0.394,0.35,0.65,-0.22599999999999998,-0.256,3.5192532634735105,,0.0,0.2236503856041131,
