method,seed,subset,epoch,top1,top5,top1_reference,top5_reference,top1_delta,top5_delta,loss,adaptation_delay,performance_deficit,shortcut_feature_reliance,eri_score
gpm,42,T1_all,49,0.68425,0.90675,0.35,0.65,0.33425000000000005,0.2567499999999999,1.529096342086792,,0.0,0.43346007604562736,
gpm,42,T2_nonshortcut_normal,49,0.8,0.9526666666666667,0.35,0.65,0.45000000000000007,0.30266666666666664,0.9317954025665919,,0.0,0.43346007604562736,
gpm,42,T2_shortcut_masked,49,0.714,0.932,0.35,0.65,0.364,0.28200000000000003,1.2457047004699706,,0.0,0.43346007604562736,
gpm,42,T2_shortcut_normal,49,0.628,0.862,0.35,0.65,0.278,0.21199999999999997,1.787625096321106,,0.0,0.43346007604562736,
