method,seed,subset,epoch,top1,top5,top1_reference,top5_reference,top1_delta,top5_delta,loss,adaptation_delay,performance_deficit,shortcut_feature_reliance,eri_score
ewc_on,42,T1_all,49,0.6985,0.91975,0.35,0.65,0.34850000000000003,0.26974999999999993,1.3912138941287995,,0.0,0.43603010348071497,
ewc_on,42,T2_nonshortcut_normal,49,0.7993333333333333,0.9526666666666667,0.35,0.65,0.44933333333333336,0.30266666666666664,0.9156693166097005,,0.0,0.43603010348071497,
ewc_on,42,T2_shortcut_masked,49,0.734,0.942,0.35,0.65,0.384,0.2919999999999999,1.123759617805481,,0.0,0.43603010348071497,
ewc_on,42,T2_shortcut_normal,49,0.654,0.894,0.35,0.65,0.30400000000000005,0.244,1.5597981548309325,,0.0,0.43603010348071497,
