method,seed,subset,epoch,top1,top5,top1_reference,top5_reference,top1_delta,top5_delta,loss,adaptation_delay,performance_deficit,shortcut_feature_reliance,eri_score,strategy,backbone
dgr,43,T2_nonshortcut_normal,49,0.7346666666666667,0.9293333333333332,0.35,0.65,0.3846666666666667,0.2793333333333333,1.08876398340861,,0.0,0.4091580502215657,,dgr,resnet18
dgr,43,T2_shortcut_masked,49,0.536,0.814,0.35,0.65,0.186,0.1639999999999999,2.022406270980835,,0.0,0.4091580502215657,,dgr,resnet18
dgr,43,T2_shortcut_normal,49,0.374,0.646,0.35,0.65,0.024,-0.004,3.23999369430542,,0.0,0.4091580502215657,,dgr,resnet18
scratch_t2,44,T1_all,49,0.5995,0.87425,0.35,0.65,0.2495,0.2242499999999999,1.68135653591156,,0.0,0.4255202628696604,,scratch_t2,resnet18
scratch_t2,44,T2_nonshortcut_normal,49,0.6993333333333334,0.9133333333333332,0.35,0.65,0.3493333333333334,0.2633333333333333,1.2181149253845214,,0.0,0.4255202628696604,,scratch_t2,resnet18
scratch_t2,44,T2_shortcut_masked,49,0.57,0.856,0.35,0.65,0.2199999999999999,0.2059999999999999,1.6518430223464966,,0.0,0.4255202628696604,,scratch_t2,resnet18
scratch_t2,44,T2_shortcut_normal,49,0.518,0.796,0.35,0.65,0.168,0.146,2.134347403526306,,0.0,0.4255202628696604,,scratch_t2,resnet18
sgd,44,T1_all,49,0.67825,0.9055,0.35,0.65,0.32825,0.2554999999999999,1.5853386764526367,,0.0,0.4423897581792318,,sgd,resnet18
sgd,44,T2_nonshortcut_normal,49,0.7866666666666666,0.9486666666666668,0.35,0.65,0.4366666666666666,0.2986666666666666,1.030006952126821,,0.0,0.4423897581792318,,sgd,resnet18
sgd,44,T2_shortcut_masked,49,0.686,0.904,0.35,0.65,0.3360000000000001,0.254,1.5142945680618287,,0.0,0.4423897581792318,,sgd,resnet18
sgd,44,T2_shortcut_normal,49,0.596,0.83,0.35,0.65,0.246,0.1799999999999999,2.040716215133667,,0.0,0.4423897581792318,,sgd,resnet18
ewc_on,44,T1_all,49,0.6845,0.90725,0.35,0.65,0.3345,0.25725,1.4519414341449737,,0.0,0.4227799227799227,,ewc_on,resnet18
ewc_on,44,T2_nonshortcut_normal,49,0.802,0.9553333333333334,0.35,0.65,0.452,0.3053333333333333,0.8818740195035935,,0.0,0.4227799227799227,,ewc_on,resnet18
ewc_on,44,T2_shortcut_masked,49,0.69,0.898,0.35,0.65,0.3399999999999999,0.248,1.4160528926849365,,0.0,0.4227799227799227,,ewc_on,resnet18
ewc_on,44,T2_shortcut_normal,49,0.564,0.822,0.35,0.65,0.2139999999999999,0.1719999999999999,2.0547456350326536,,0.0,0.4227799227799227,,ewc_on,resnet18
derpp,44,T1_all,49,0.675,0.90075,0.35,0.65,0.325,0.25075,1.2899251453876497,,0.0,0.4366729678638941,,derpp,resnet18
derpp,44,T2_nonshortcut_normal,49,0.7986666666666666,0.9526666666666668,0.35,0.65,0.4486666666666666,0.3026666666666666,0.8087954399585724,,0.0,0.4366729678638941,,derpp,resnet18
derpp,44,T2_shortcut_masked,49,0.67,0.902,0.35,0.65,0.32,0.252,1.2171003379821776,,0.0,0.4366729678638941,,derpp,resnet18
derpp,44,T2_shortcut_normal,49,0.59,0.834,0.35,0.65,0.24,0.1839999999999999,1.6160860595703126,,0.0,0.4366729678638941,,derpp,resnet18
dgr,44,T1_all,49,0.62275,0.86175,0.35,0.65,0.27275,0.21175,1.6972922258377074,,0.0,0.4252983293556086,,dgr,resnet18
dgr,44,T2_nonshortcut_normal,49,0.7333333333333333,0.928,0.35,0.65,0.3833333333333333,0.278,1.0767079441547394,,0.0,0.4252983293556086,,dgr,resnet18
dgr,44,T2_shortcut_masked,49,0.444,0.754,0.35,0.65,0.094,0.1039999999999999,2.462559345245362,,0.0,0.4252983293556086,,dgr,resnet18
dgr,44,T2_shortcut_normal,49,0.366,0.622,0.35,0.65,0.016,-0.028,3.1865070667266844,,0.0,0.4252983293556086,,dgr,resnet18
