method,seed,subset,epoch,top1,top5,top1_reference,top5_reference,top1_delta,top5_delta,loss,adaptation_delay,performance_deficit,shortcut_feature_reliance,eri_score
derpp,43,T1_all,49,0.6815,0.895,0.35,0.65,0.3315,0.245,1.2761355185508727,,0.0,0.43100995732574676,
derpp,43,T2_nonshortcut_normal,49,0.7986666666666666,0.9493333333333334,0.35,0.65,0.44866666666666666,0.29933333333333334,0.8151069568792979,,0.0,0.43100995732574676,
derpp,43,T2_shortcut_masked,49,0.73,0.928,0.35,0.65,0.38,0.278,1.0196657910346985,,0.0,0.43100995732574676,
derpp,43,T2_shortcut_normal,49,0.618,0.836,0.35,0.65,0.268,0.18599999999999994,1.5594262351989747,,0.0,0.43100995732574676,
