method,seed,subset,epoch,top1,top5,top1_reference,top5_reference,top1_delta,top5_delta,loss,adaptation_delay,performance_deficit,shortcut_feature_reliance,eri_score
dgr,42,T1_all,49,0.6305,0.87025,0.35,0.65,0.28049999999999997,0.22024999999999995,1.620542908191681,,0.0,0.4287776708373436,
dgr,42,T2_nonshortcut_normal,49,0.7326666666666667,0.9193333333333333,0.35,0.65,0.3826666666666667,0.2693333333333333,1.098778493642807,,0.0,0.4287776708373436,
dgr,42,T2_shortcut_masked,49,0.59,0.854,0.35,0.65,0.24,0.20399999999999996,1.7822478713989258,,0.0,0.4287776708373436,
dgr,42,T2_shortcut_normal,49,0.466,0.718,0.35,0.65,0.11600000000000005,0.06799999999999995,2.7166421241760252,,0.0,0.4287776708373436,
