method,seed,epoch_eff,split,acc,top5,loss
scratch_t2,42,0.0,T1_all,0.13025,0.45275,3.3415074958801267
scratch_t2,42,0.0,T2_nonshortcut_normal,0.202,0.4746666666666667,3.250503853480021
scratch_t2,42,0.0,T2_shortcut_masked,0.106,0.366,3.479353546142578
scratch_t2,42,0.0,T2_shortcut_normal,0.022,0.128,4.344935905456543
scratch_t2,42,1.0,T1_all,0.17425,0.497,3.185940023422241
scratch_t2,42,1.0,T2_nonshortcut_normal,0.282,0.712,2.583683945337931
scratch_t2,42,1.0,T2_shortcut_masked,0.134,0.462,3.1738067054748536
scratch_t2,42,1.0,T2_shortcut_normal,0.08,0.278,3.7092765312194826
scratch_t2,42,2.0,T1_all,0.22975,0.55275,2.9099794178009035
scratch_t2,42,2.0,T2_nonshortcut_normal,0.35333333333333333,0.7166666666666667,2.386766206741333
scratch_t2,42,2.0,T2_shortcut_masked,0.176,0.534,2.9967200813293458
scratch_t2,42,2.0,T2_shortcut_normal,0.098,0.416,3.400122755050659
scratch_t2,42,3.0,T1_all,0.24525,0.57875,2.884880937576294
scratch_t2,42,3.0,T2_nonshortcut_normal,0.398,0.7406666666666667,2.2021021264394123
scratch_t2,42,3.0,T2_shortcut_masked,0.104,0.522,3.232884922027588
scratch_t2,42,3.0,T2_shortcut_normal,0.098,0.494,3.243045383453369
scratch_t2,42,4.0,T1_all,0.185,0.49025,3.4181471252441407
scratch_t2,42,4.0,T2_nonshortcut_normal,0.258,0.5793333333333334,3.2521885102589927
scratch_t2,42,4.0,T2_shortcut_masked,0.228,0.546,3.02093306350708
scratch_t2,42,4.0,T2_shortcut_normal,0.15,0.398,3.5892538948059083
scratch_t2,42,5.0,T1_all,0.2285,0.59025,3.0196563243865966
scratch_t2,42,5.0,T2_nonshortcut_normal,0.28933333333333333,0.6266666666666667,2.7726579710642496
scratch_t2,42,5.0,T2_shortcut_masked,0.178,0.516,3.1103131980895995
scratch_t2,42,5.0,T2_shortcut_normal,0.086,0.372,3.842395481109619
scratch_t2,42,6.0,T1_all,0.32375,0.6665,2.5490334424972536
scratch_t2,42,6.0,T2_nonshortcut_normal,0.482,0.8053333333333333,1.8621554072697957
