method,seed,subset,epoch,top1,top5,top1_reference,top5_reference,top1_delta,top5_delta,loss,adaptation_delay,performance_deficit,shortcut_feature_reliance,eri_score
scratch_t2,42,T1_all,49,0.595,0.86325,0.35,0.65,0.245,0.21324999999999994,1.6744438190460205,,0.0,0.4231820667031165,
scratch_t2,42,T2_nonshortcut_normal,49,0.7033333333333334,0.9166666666666666,0.35,0.65,0.3533333333333334,0.2666666666666666,1.1804709696769715,,0.0,0.4231820667031165,
scratch_t2,42,T2_shortcut_masked,49,0.612,0.89,0.35,0.65,0.262,0.24,1.457520276069641,,0.0,0.4231820667031165,
scratch_t2,42,T2_shortcut_normal,49,0.516,0.818,0.35,0.65,0.16600000000000004,0.16799999999999993,1.954508599281311,,0.0,0.4231820667031165,
