method,seed,subset,epoch,top1,top5,top1_reference,top5_reference,top1_delta,top5_delta,loss,adaptation_delay,performance_deficit,shortcut_feature_reliance,eri_score
ewc_on,42,T1_all,49,0.687,0.91075,0.35,0.65,0.3370000000000001,0.2607499999999999,1.4452821068763733,,0.0,0.43104276790004803,
ewc_on,42,T2_nonshortcut_normal,49,0.7866666666666666,0.952,0.35,0.65,0.43666666666666665,0.30199999999999994,0.8993781395753224,,0.0,0.43104276790004803,
ewc_on,42,T2_shortcut_masked,49,0.734,0.94,0.35,0.65,0.384,0.2899999999999999,1.1198392066955567,,0.0,0.43104276790004803,
ewc_on,42,T2_shortcut_normal,49,0.618,0.864,0.35,0.65,0.268,0.21399999999999997,1.7162779092788696,,0.0,0.43104276790004803,

method,seed,subset,epoch,top1,top5,top1_reference,top5_reference,top1_delta,top5_delta,loss,adaptation_delay,performance_deficit,shortcut_feature_reliance,eri_score
gpm,42,T1_all,49,0.511,0.82,0.35,0.65,0.16100000000000003,0.16999999999999993,1.806550368309021,,0.0,0.5,
gpm,42,T2_nonshortcut_normal,49,0.37733333333333335,0.7026666666666667,0.35,0.65,0.027333333333333376,0.05266666666666664,2.4549103342692056,,0.0,0.5,
gpm,42,T2_shortcut_masked,49,0.132,0.378,0.35,0.65,-0.21799999999999997,-0.272,4.59944734954834,,0.0,0.5,
gpm,42,T2_shortcut_normal,49,0.1,0.32,0.35,0.65,-0.24999999999999997,-0.33,4.785878425598145,,0.0,0.5,
